new_id	original_id
1	454
2	640
3	1
4	939
5	185
6	258
7	55
8	170
9	9
10	453
11	45
12	14
13	190
14	400
15	637
16	255
17	275
18	176
19	533
20	116
21	151
22	866
23	280
24	484
25	243
26	687
27	54
28	364
29	374
30	295
31	441
32	101
33	425
34	47
35	241
36	179
37	202
38	63
39	564
40	577
41	265
42	494
43	443
44	209
45	843
46	222
47	205
48	894
49	1359
50	1383
51	376
52	638
53	1238
54	1260
55	487
56	984
57	226
58	353
59	1342
60	1518
61	122
62	1067
63	1324
64	70
65	132
66	779
67	279
68	908
69	510
70	545
71	634
72	1332
73	1401
74	582
75	605
76	252
77	3
78	884
79	339
80	691
81	869
82	72
83	954
84	160
85	117
86	346
87	111
88	124
89	276
90	621
91	39
92	871
93	694
94	778
95	513
96	236
97	883
98	1594
99	1828
100	1214
101	196
102	201
103	245
104	390
105	938
106	923
107	106
108	272
109	753
110	486
111	531
112	254
113	382
114	119
115	240
116	447
117	649
118	1204
119	466
120	841
121	199
122	674
123	857
124	945
125	1218
126	1512
127	653
128	502
129	587
130	626
131	420
132	504
133	311
134	267
135	177
136	480
137	771
138	312
139	612
140	450
141	89
142	322
143	520
144	15
145	211
146	366
147	227
148	440
149	41
150	388
151	219
152	658
153	220
154	576
155	642
156	391
157	777
158	20
159	958
160	103
161	61
162	274
163	147
164	277
165	702
166	242
167	38
168	438
169	387
170	1295
171	1412
172	492
173	1345
174	1212
175	28
176	327
177	1216
178	372
179	720
180	1784
181	27
182	171
183	1336
184	1423
185	1366
186	407
187	1320
188	1805
189	1237
190	974
191	464
192	477
193	763
194	1894
195	1201
196	1228
197	786
198	886
199	797
200	959
201	1485
202	210
203	4
204	790
205	285
206	544
207	333
208	622
209	429
210	46
211	343
212	867
213	615
214	977
215	90
216	269
217	603
218	335
219	765
220	257
221	268
222	214
223	491
224	181
225	650
226	85
227	325
228	941
229	356
230	744
231	1543
232	145
233	173
234	909
235	79
236	854
237	527
238	475
239	471
240	681
241	465
242	446
243	58
244	32
245	991
246	725
247	859
248	798
249	256
250	306
251	131
252	677
253	960
254	769
255	248
256	125
257	917
258	120
259	115
260	1519
261	970
262	213
263	424
264	428
265	488
266	498
267	809
268	92
269	845
270	655
271	156
272	413
273	21
274	1232
275	290
276	71
277	65
278	791
279	874
280	448
281	496
282	921
283	497
284	627
285	194
286	927
287	232
288	172
289	165
290	87
291	253
292	706
293	134
294	624
295	548
296	893
297	920
298	836
299	80
300	743
301	826
302	184
303	601
304	1870
305	200
306	784
307	751
308	434
309	979
310	647
311	246
312	489
313	998
314	435
315	468
316	48
317	1339
318	159
319	149
320	1819
321	525
322	882
323	34
324	239
325	62
326	452
327	445
